sample,exposure,concentration,Arrhymia,arrhythmia_risk_score,cluster_kmeans_k2,cluster_kmeans_k3,cluster_hierarchical_k2,pca_pc1,pca_pc2
Phe_0_1.1,Phe,0,False,0.037564406199162785,2,1,1,-1.0098611459001572,0.6011880136101896
Phe_0_2.1,Phe,0,False,0.0626317030972492,2,1,1,-1.0485247756018345,0.6835806830186272
Phe_0_2.2,Phe,0,False,0.041117568318021804,2,1,1,-1.7530477653410343,-0.03896813568275294
Phe_0_2.3,Phe,0,False,0.11639628022333114,2,1,1,-0.6323564794865633,0.2918122159731742
Phe_0_2.4,Phe,0,False,0.06093452561590491,2,1,1,-0.9637013871272974,0.9184665074708974
Phe_100_1.1,Phe,100,True,0.9985259069127665,2,3,1,-1.7172276475163253,-5.765449127481342
Phe_100_1.2,Phe,100,False,0.035227847543005786,2,1,1,-1.4610396507359495,0.02371616939018811
Phe_100_1.3,Phe,100,False,0.032740174074686074,2,1,1,-0.9133725865993849,0.7526213428596097
Phe_100_1.4,Phe,100,False,0.11732077517170363,2,1,1,-0.46830173561695054,0.5951972424238549
Phe_100_2.1,Phe,100,False,0.4903482173016079,2,1,1,1.488716187288256,-0.27455837526339144
Phe_100_2.2,Phe,100,False,0.1636942878815777,2,1,1,-1.6517798629914713,-0.9540357886255943
Phe_100_2.3,Phe,100,False,0.21951818462219638,2,1,1,0.055231375748757916,0.5755138781287138
Phe_100_2.4,Phe,100,True,0.8412228712241882,2,1,1,-0.2108322186565736,-2.1140168445852776
Phe_50_1.1,Phe,50,False,0.07543080003606555,2,1,1,-1.2060359391899034,0.004777754771396067
Phe_50_1.2,Phe,50,False,0.054749940534122375,2,1,1,-1.4778319156742248,-0.24922731007485963
Phe_75_1.1,Phe,75,False,0.108211815926254,2,1,1,-1.5495248457547275,-0.5296459787615253
Phe_75_1.2,Phe,75,False,0.05547143233109827,2,1,1,-1.0198256728767223,0.5095581664481673
Phe_75_1.3,Phe,75,False,0.041841241408143125,2,1,1,-1.6224953608185104,-0.11246194122621847
Terf_0_1.1,Terf,0,False,0.030505631446031578,2,1,1,-0.6628527340757475,1.1656312927096133
Terf_0_1.2,Terf,0,True,0.9600957690832405,2,1,1,3.031373650598661,-0.7670849476646469
Terf_0_2.1,Terf,0,False,0.07498767200243887,2,1,1,-1.0660058904015042,0.593144867508313
Terf_0_2.2,Terf,0,False,0.09550647103629344,2,1,1,-1.3789882891618839,0.008183228716994994
Terf_0_2.3,Terf,0,False,0.06362348702671398,2,1,1,-1.0905110916860208,0.41930590151578073
Terf_0_2.4,Terf,0,False,0.07371590599458175,2,1,1,-1.323765304592361,0.25608705312313607
Terf_10_1.1,Terf,10,False,0.03517167129031937,2,1,1,-1.271549391751922,0.30569016126199516
Terf_10_1.2,Terf,10,False,0.21250164661763107,2,1,1,-0.9694513077692282,-0.4370279968277863
Terf_10_1.3,Terf,10,False,0.0325157558169972,2,1,1,-0.7082138082342623,1.03762814515982
Terf_20_1.1,Terf,20,False,0.08073859388387859,2,1,1,-1.1393510602194536,0.068258385992256
Terf_20_1.2,Terf,20,True,0.998942439052505,1,2,2,10.649041842261644,-1.9434019815641157
Terf_20_1.3,Terf,20,False,0.07850834524164586,2,1,1,-0.4961012726743301,0.6020989957339202
Terf_20_2.1,Terf,20,False,0.47196951427982253,2,1,1,-0.11277725132736287,-1.386563913039641
Terf_20_2.2,Terf,20,True,0.5391119416250941,2,1,1,0.655675677610107,-1.0529953086811763
Terf_20_2.3,Terf,20,True,0.6184973801801164,2,1,1,0.4963346631265937,-0.24198519009578615
Terf_30_1.1,Terf,30,True,0.9227101859756891,2,1,1,3.1407805443182943,-0.47568102157283637
Terf_30_1.2,Terf,30,True,0.730238577496015,2,1,1,3.16153946833455,2.103416337681284
Terf_30_2.1,Terf,30,True,0.6513063737526082,2,1,1,3.9921010482282715,2.5328915432206798
Terf_30_2.2,Terf,30,False,0.441556223506088,2,1,1,1.1059035872832097,0.10484093196700978
Terf_30_2.3,Terf,30,False,0.10685752922757669,2,1,1,1.148628346983361,2.1894950424613318
