feature,pc1_loading,pc2_loading
n_peaks,-0.22473377122769522,-0.5117753220568628
mean_ibi_ms,0.3294374231282934,0.326118558110035
sdnn_ms,0.3949088242465264,-0.163173237202701
rmssd_ms,0.3923009529522046,-0.18596577512946022
cv_ibi,0.37943206586006506,-0.2981957993433096
pnn50,0.21191311734872065,-0.29908116742559054
mean_hr_bpm,-0.3075458856186273,-0.4306886312210503
arrhythmia_risk_score,0.3015588825277999,-0.3754220148494032
snr,0.33834762407113034,0.24942579501461176
baseline_drift,0.2055127517774899,-0.0592118059270947
